MUNIAT;SEXO;POP_TOTAL;IMIGRANTE;EMIGRANTE;MIGRANTE;SALDO;IEM;TX_IMIG;TX_EMIG;TX_MIG
ABAETETUBA;Fem;69469,9999999996;4564,84948660601;6069,16886401721;10634,0183506232;-1504,3193774112;-0,141462928482067;0,00873638817333705;0,00657096514553914;0,0153073533188762
ABAETETUBA;Masc;71629,9999999993;4437,77462795943;5155,47030726274;9593,24493522218;-717,695679303309;-0,0748126086792849;0,00719736186969537;0,00619541341331771;0,0133927752830131
ABEL FIGUEIREDO;Fem;3247,00000000001;839,340809873895;1008,56786931436;1847,90867918825;-169,227059440461;-0,0915776095141234;0,031061529698625;0,0258497323644562;0,0569112620630812
ABEL FIGUEIREDO;Masc;3533,00000000001;974,292909337825;1025,72703428897;2000,01994362679;-51,4341249511439;-0,025716806032381;0,029032749343022;0,0275769292198648;0,0566096785628868
ABREULÂNDIA;Fem;1130;499,951594920519;164,085538216471;664,037133136991;335,866056704048;0,505794088829607;0,0145208440899532;0,0442435039752671;0,0587643480652203
ABREULÂNDIA;Masc;1261;503,208783873119;267,904279230756;771,113063103875;235,304504642362;0,305149161518828;0,0212453829683391;0,0399055340105565;0,0611509169788956
ACARÁ;Fem;25453,999999981;2166,89069545573;2806,07353379677;4972,9642292525;-639,182838341043;-0,128531557613299;0,0110240965419929;0,00851296729573875;0,0195370638377316
ACARÁ;Masc;28114,9999999785;2229,75037524999;3159,77548860742;5389,52586385741;-930,025113357426;-0,172561582753364;0,0112387532940062;0,00793082118175955;0,0191695744757657
ACORIZAL;Fem;2616;225,761643416611;408,04516386596;633,806807282571;-182,283520449349;-0,287601077102477;0,0155980567227049;0,00863003224069612;0,024228088963401
ACORIZAL;Masc;2900;241,297593474297;452,789910040819;694,087503515117;-211,492316566522;-0,304705552967668;0,0156134451738213;0,00832060667152749;0,0239340518453488
ACRELÂNDIA;Fem;5946,00000000001;1851,0199258637;955,861697229829;2806,88162309353;895,158228633873;0,318915561407716;0,0160757096742319;0,0311305066576471;0,047206216331879
ACRELÂNDIA;Masc;6592,00000000001;1892,70833386686;1028,10933701871;2920,81767088557;864,598996848151;0,29601265613612;0,0155963188261333;0,0287122016666695;0,0443085204928028
AFONSO CUNHA;Fem;2933;653,334019043798;504,607849619456;1157,94186866325;148,726169424341;0,128440100016448;0,0172044953842297;0,022275281931258;0,0394797773154877
AFONSO CUNHA;Masc;2972;542,385730454385;456,750020420867;999,135750875252;85,6357100335181;0,0857097846398754;0,0153684394488851;0,0182498563409954;0,0336182957898806
AFUÁ;Fem;16589,0000000014;1456,99446261343;2641,75732256779;4098,75178518122;-1184,76285995436;-0,289054551738847;0,0159247532857168;0,00878289506669062;0,0247076483524074
AFUÁ;Masc;18453,0000000017;1524,1684001537;2397,20715459642;3921,37555475012;-873,038754442711;-0,222635843533314;0,012990880369567;0,00825973229368431;0,0212506126632513
AGUIARNÓPOLIS;Fem;2544,00000000001;831,791684171342;550,586460112319;1382,37814428366;281,205224059023;0,203421346917158;0,0216425495327168;0,0326962140004457;0,0543387635331626
AGUIARNÓPOLIS;Masc;2618,00000000001;914,870281630538;529,983430616131;1444,85371224667;384,886851014408;0,266384650398918;0,0202438285185687;0,0349453889087294;0,0551892174272981
ALCÂNTARA;Fem;10593;730,286177936065;1925,37042337536;2655,65660131142;-1195,08424543929;-0,450014600852058;0,0181758748548604;0,00689404491585071;0,0250699197707111
ALCÂNTARA;Masc;11258;667,098957076553;1915,90651462783;2583,00547170438;-1248,80755755128;-0,48347073640818;0,017018178314335;0,00592555477950394;0,0229437330938389
ALDEIAS ALTAS;Fem;11557;1585,44483629648;1462,44577566233;3047,89061195881;122,999060634157;0,0403554708136683;0,0126541989760519;0,0137184808886085;0,0263726798646604
ALDEIAS ALTAS;Masc;12395;1718,44086553563;1183,58389869365;2902,02476422928;534,856966841981;0,184304756263522;0,00954888179664097;0,0138639843931878;0,0234128661898288
ALENQUER;Fem;25595,9999999997;1688,30485474978;4698,93053921779;6387,23539396757;-3010,62568446801;-0,471350357200143;0,0183580658666114;0,00659597145940694;0,0249540373260183
ALENQUER;Masc;27029,9999999996;1544,73853283707;4714,42504418055;6259,16357701762;-3169,68651134348;-0,506407361357662;0,0174414541035169;0,00571490393206473;0,0231563580355816
ALIANÇA DO TOCANTINS;Fem;2764;538,523261944907;965,001817699573;1503,52507964448;-426,478555754666;-0,283652438877514;0,0349132350831973;0,0194834754683396;0,0543967105515369
ALIANÇA DO TOCANTINS;Masc;2907;533,898578349594;1056,25758003214;1590,15615838173;-522,359001682542;-0,328495411553879;0,0363349700733449;0,0183659641675127;0,0547009342408576
ALMAS;Fem;3620,99999999998;587,640932722974;978,522863478773;1566,16379620175;-390,881930755799;-0,249579214960634;0,0270235532581822;0,0162286918730455;0,0432522451312277
ALMAS;Masc;3964,99999999998;618,368569321289;1030,05503002763;1648,42359934892;-411,686460706346;-0,249745551367349;0,0259786892819077;0,0155956764015458;0,0415743656834535
ALMEIRIM;Fem;16146;2471,28666580535;6309,61098692258;8780,89765272792;-3838,32432111723;-0,437122088528704;0,0390784775605264;0,0153058755469178;0,0543843531074442
ALMEIRIM;Masc;17468;2605,07985173338;5264,19891290889;7869,27876464227;-2659,11906117552;-0,337911407221116;0,030136242917958;0,014913440873216;0,045049683791174
ALTA FLORESTA;Fem;24174,9999999992;4227,20707754467;8445,34428179196;12672,5513593366;-4218,13720424729;-0,332856193251056;0,0349342059226152;0,0174858617478586;0,0524200676704738
ALTA FLORESTA;Masc;24988,9999999991;4772,54421365579;8678,50063899176;13451,0448526476;-3905,95642533597;-0,290383123997031;0,0347292834406821;0,019098580229925;0,0538278636706071
ALTA FLORESTA D'OESTE;Fem;11735,9999999999;1899,41714820747;3720,89223625221;5620,30938445968;-1821,47508804474;-0,324088046305987;0,031704944071679;0,0161845360276712;0,0478894800993501
ALTA FLORESTA D'OESTE;Masc;12655,9999999999;2110,7048996271;3422,15975751888;5532,86465714599;-1311,45485789178;-0,237029990639291;0,0270398210929118;0,0166775039477491;0,0437173250406609
ALTAMIRA;Fem;49256,0000000005;9034,45339160944;12366,956255105;21401,4096467145;-3332,5028634956;-0,155714175771931;0,0251075122931316;0,0183418332621596;0,0434493455552912
ALTAMIRA;Masc;49819,0000000004;8874,06280045506;12688,2741838648;21562,3369843198;-3814,21138340972;-0,176892300040734;0,0254687452254455;0,0178126072391156;0,043281352464561
ALTAMIRA DO MARANHÃO;Fem;5496,00000000001;368,796245028487;1101,0608520793;1469,85709710779;-732,264607050817;-0,498187618709111;0,0200338582983861;0,00671026646703942;0,0267441247654256
ALTAMIRA DO MARANHÃO;Masc;5566,99999999998;295,245414584943;1105,0433820018;1400,28879658674;-809,797967416857;-0,578307824350784;0,0198498901024215;0,00530349226845597;0,0251533823708774
ALTO ALEGRE;Fem;7772,00000000003;1206,3077102027;705,056082775565;1911,36379297827;501,251627427136;0,26224815457349;0,00907174578970101;0,0155212005944763;0,0245929463841773
ALTO ALEGRE;Masc;8676,00000000002;1378,84122443622;536,546805485155;1915,38802992137;842,294418951062;0,439751322339442;0,00618426470130422;0,0158925913374391;0,0220768560387433
ALTO ALEGRE DO MARANHÃO;Fem;12325;1700,87383819578;1353,72473282929;3054,59857102507;347,149105366486;0,113648028470723;0,0109835678120024;0,0138001934133532;0,0247837612253555
ALTO ALEGRE DO MARANHÃO;Masc;12274;1712,45560403041;1306,81361337815;3019,26921740855;405,64199065226;0,134351050351324;0,0106470067897845;0,0139518950955712;0,0245989018853556
ALTO ALEGRE DO PINDARÉ;Fem;15035;1133,47153280696;2127,23666247297;3260,70819527993;-993,765129666012;-0,304769721836669;0,0141485644328099;0,00753888615102735;0,0216874505838373
ALTO ALEGRE DO PINDARÉ;Masc;16022;1415,9101643162;2022,8537784006;3438,7639427168;-606,943614084405;-0,176500517102924;0,0126254760853864;0,00883728725699787;0,0214627633423842
ALTO ALEGRE DOS PARECIS;Fem;6077,00000000003;2066,4219081894;1353,25680443045;3419,67871261985;713,165103758951;0,208547399826514;0,0222685009779569;0,0340039807172847;0,0562724816952416
ALTO ALEGRE DOS PARECIS;Masc;6739,00000000005;2102,79120201022;1690,33279330801;3793,12399531823;412,458408702206;0,108738445991034;0,0250828430525004;0,0312033120939339;0,0562861551464343
ALTO ARAGUAIA;Fem;7633,00000000022;2134,15770804969;1911,48735970033;4045,64506775002;222,670348349355;0,055039516472757;0,0250424126778498;0,0279596188661028;0,0530020315439526
ALTO ARAGUAIA;Masc;8011,00000000023;2239,32413730707;2189,93630957163;4429,2604468787;49,3878277354384;0,0111503553082416;0,0273366160226135;0,0279531161815879;0,0552897322042014
ALTO BOA VISTA;Fem;2515,00000000011;1177,22302318443;713,901117979058;1891,12414116349;463,321905205374;0,244998144289101;0,0283857303371383;0,0468080724924207;0,075193802829559
ALTO BOA VISTA;Masc;2732,00000000011;1309,90552576025;738,730346127295;2048,63587188755;571,175179632958;0,278807565302806;0,0270399101803538;0,0479467615578404;0,0749866717381942
ALTO GARÇAS;Fem;4912,00000000001;1561,5862023228;1333,80522909367;2895,39143141648;227,780973229129;0,07867018281452;0,0271540152502783;0,0317912500472883;0,0589452652975666
ALTO GARÇAS;Masc;5438;1890,07336160989;1158,04549240029;3048,11885401018;732,027869209603;0,240157259040779;0,0212954301655073;0,0347567738435067;0,056052204009014
ALTO PARAGUAI;Fem;4653;498,772375738822;935,478817183244;1434,25119292207;-436,706441444422;-0,304483931126946;0,0201048531524445;0,0107193719264737;0,0308242250789183
ALTO PARAGUAI;Masc;5413;508,124087390785;1162,60397450029;1670,72806189107;-654,479887109502;-0,391733341911254;0,021477996942551;0,00938710673177138;0,0308651036743224
ALTO PARAÍSO;Fem;8112,99999999991;2463,44756748114;1052,06298694743;3515,51055442858;1411,38458053371;0,401473572239956;0,0129676197084611;0,0303642002647747;0,0433318199732357
ALTO PARAÍSO;Masc;9021,99999999992;2429,10214276802;934,16041548722;3363,26255825524;1494,9417272808;0,444491532072456;0,0103542497837201;0,0269242090752387;0,0372784588589589
ALTO PARNAÍBA;Fem;5298;527,275212803451;1330,55032141227;1857,82553421572;-803,275108608817;-0,43237381218787;0,0251142001021568;0,00995234452252644;0,0350665446246832
ALTO PARNAÍBA;Masc;5468;580,3081766424;922,531361295974;1502,83953793837;-342,223184653574;-0,227717714376242;0,0168714586923185;0,0106128049861448;0,0274842636784633
ALTO TAQUARI;Fem;3795,00000000001;1882,10770361697;803,693599955769;2685,80130357274;1078,4141036612;0,401524156767167;0,0211776969685314;0,0495944058924103;0,0707721028609417
ALTO TAQUARI;Masc;4277,00000000002;2255,77867164714;683,441684122372;2939,22035576951;1572,33698752476;0,534950360029442;0,0159794642067423;0,0527420778968232;0,0687215421035655
ALVARÃES;Fem;6672,00000000003;442,73260677873;859,582020859862;1302,31462763859;-416,849414081132;-0,320083492294777;0,0128834235740387;0,00663568055723514;0,0195191041312738
ALVARÃES;Masc;7416,00000000002;485,655941696419;701,33302477662;1186,98896647304;-215,677083080201;-0,181701000743969;0,00945702568469012;0,00654875865286433;0,0160057843375544
ALVORADA;Fem;4122,00000000001;781,907003111542;1191,16030004118;1973,06730315273;-409,253296929642;-0,207419836249734;0,0288976297923625;0,0189691170090136;0,0478667468013761
ALVORADA;Masc;4252;876,237140961135;1660,01144962435;2536,24859058549;-783,774308663216;-0,309028977511342;0,0390407208284184;0,0206076467770728;0,0596483676054912
ALVORADA D'OESTE;Fem;8175,00000000009;1434,57306575398;2947,49886782774;4382,07193358172;-1512,92580207377;-0,345253529609946;0,0360550320223573;0,0175482943823114;0,0536033264046688
ALVORADA D'OESTE;Masc;8678,00000000009;1651,19292400665;2849,02488552283;4500,21780952947;-1197,83196151618;-0,26617199704861;0,0328304319603917;0,0190273441346696;0,0518577760950614
AMAJARI;Fem;4334,99999999962;761,148554623735;261,001854768638;1022,15040939237;500,146699855097;0,489308320242628;0,00602080403157234;0,0175582134861315;0,0235790175177039
AMAJARI;Masc;4991,99999999957;943,973560784073;308,178131896675;1252,15169268075;635,795428887399;0,507762304362833;0,00617344014216148;0,0189097267785287;0,0250831669206902
AMAPÁ;Fem;3857,99999999998;342,393741647965;1609,12375946152;1951,51750110949;-1266,73001781356;-0,649100004019124;0,0417087547812735;0,00887490258289183;0,0505836573641654
AMAPÁ;Masc;4210,99999999998;413,889122102505;1393,98424192703;1807,87336402954;-980,095119824527;-0,542125980350753;0,0331034016130857;0,00982876091433169;0,0429321625274174
AMAPÁ DO MARANHÃO;Fem;3119,00000000001;804,577381196661;483,432914599582;1288,01029579624;321,144466597079;0,249333772909439;0,0154996125232312;0,0257960045269849;0,041295617050216
AMAPÁ DO MARANHÃO;Masc;3312,00000000001;891,389318660101;499,527998574042;1390,91731723414;391,861320086059;0,281728694603702;0,0150823671067041;0,0269139287035054;0,0419962958102096
AMARANTE DO MARANHÃO;Fem;18150;2390,83101215139;2842,26897881435;5233,09999096574;-451,437966662968;-0,0862658782446956;0,0156598841807954;0,0131726226564815;0,0288325068372769
AMARANTE DO MARANHÃO;Masc;19782;2258,45550165735;2563,66235318675;4822,1178548441;-305,206851529405;-0,0632931132578618;0,0129595710908237;0,011416719753601;0,0243762908444247
AMATURÁ;Fem;4565,00000000033;300,548556663869;410,571691594474;711,120248258343;-110,023134930606;-0,154718045506469;0,00899390343032738;0,00658375808683126;0,0155776615171586
AMATURÁ;Masc;4902,00000000035;344,360887291072;267,306115664715;611,667002955787;77,0547716263575;0,125975034216334;0,00545300113555071;0,00702490590149016;0,0124779070370409
ANAJATUBA;Fem;12332;679,243543311231;1357,29152074146;2036,53506405269;-678,047977430228;-0,332941960783586;0,0110062562499307;0,00550797553771675;0,0165142317876475
ANAJATUBA;Masc;12959;708,6623973313;1343,55641057701;2052,21880790831;-634,894013245707;-0,309369552018098;0,010367747593001;0,0054684960053345;0,0158362435983355
ANAJÁS;Fem;11802,0000000003;961,819119546979;1041,66026832426;2003,47938787124;-79,8411487772829;-0,0398512454186597;0,00882613343775829;0,00814962819477167;0,01697576163253
ANAJÁS;Masc;12957,0000000003;935,237668998438;1168,53970662943;2103,77737562786;-233,302037630987;-0,110896732864312;0,00901859772037814;0,00721801087441857;0,0162366085947967
ANAMÃ;Fem;4768,00000000001;437,864226877646;495,964202892068;933,828429769713;-58,0999760144222;-0,0622169706578219;0,010401933785488;0,00918339402008483;0,0195853278055728
ANAMÃ;Masc;5446,00000000001;411,982502596378;500,610936260242;912,59343885662;-88,6284336638632;-0,0971171059205783;0,00919226838524129;0,00756486416813033;0,0167571325533716
ANANINDEUA;Fem;245344,999999996;58035,0433590244;15809,4382436462;73844,4816026706;42225,6051153782;0,571818018069086;0,00644375807277364;0,023654463453107;0,0300982215258806
ANANINDEUA;Masc;226634,999999997;51966,5541031072;13463,6967483751;65430,2508514823;38502,8573547321;0,588456514435935;0,00594069616271769;0,0229296243312409;0,0288703204939586
ANANÁS;Fem;4883,99999999994;844,125449367364;1653,22569366288;2497,35114303024;-809,100244295512;-0,32398337196337;0,0338498299275777;0,0172834858592828;0,0511333157868606
ANANÁS;Masc;4980,99999999995;940,140040120018;1625,88338777687;2566,02342789689;-685,743347656854;-0,267239706466316;0,0326417062392469;0,0188745239935761;0,051516230232823
ANAPU;Fem;9551,00000000004;4175,82524153833;1304,68543335332;5480,51067489165;2871,139808185;0,523881801989513;0,0136601971872403;0,0437213406087144;0,0573815377959547
ANAPU;Masc;10992;5227,61197482968;1371,30691240271;6598,9188872324;3856,30506242697;0,584384370883564;0,0124754995669824;0,0475583331043455;0,060033832671328
ANAPURUS;Fem;6919,00000000003;872,38841287886;1183,42235671255;2055,81076959141;-311,03394383369;-0,151295025998676;0,0171039508124374;0,0126085910229637;0,0297125418354011
ANAPURUS;Masc;7020,00000000003;894,441442824485;820,935478612837;1715,37692143732;73,505964211648;0,0428512027257875;0,0116942375870774;0,0127413310943658;0,0244355686814432
ANGICO;Fem;1502;401,304494082798;311,442554501429;712,747048584228;89,861939581369;0,126078304722366;0,0207351900466996;0,0267180089269505;0,0474531989736502
ANGICO;Masc;1673;423,2075569502;242,395740188333;665,603297138533;180,811816761867;0,271651023273453;0,0144886873991831;0,0252963273729946;0,0397850147721776
ANORI;Fem;7805,9999999986;590,861362260613;820,717231575237;1411,57859383585;-229,855869314624;-0,162836040669906;0,0105139281523877;0,00756932311376786;0,0180832512661556
ANORI;Masc;8510,99999999845;627,438946976177;744,155219868813;1371,59416684499;-116,716272892636;-0,0850953406728993;0,00874345223674009;0,00737209431296312;0,0161155465497032
APARECIDA DO RIO NEGRO;Fem;2043;472,984764961692;228,78459051888;701,769355480572;244,200174442813;0,347977825671206;0,011198462580464;0,023151481398027;0,034349943978491
APARECIDA DO RIO NEGRO;Masc;2170;446,667264191019;493,127999305249;939,795263496268;-46,4607351142292;-0,04943708158454;0,0227247925947119;0,0205837448935953;0,0433085374883072
APIACÁS;Fem;3904,00000000001;1284,48218779739;763,805020749522;2048,28720854691;520,677167047871;0,254201249158436;0,0195646777855922;0,0329016953841545;0,0524663731697467
APIACÁS;Masc;4663,00000000001;1686,95134538046;847,914213558884;2534,86555893934;839,037131821576;0,330998671256022;0,0181838776229655;0,0361773824872498;0,0543612601102153
APICUM-AÇU;Fem;7142,99999999998;1044,55832711745;653,897292067532;1698,45561918498;390,661035049918;0,230009563180332;0,00915437900136545;0,0146235241091622;0,0237779031105276
APICUM-AÇU;Masc;7815,99999999997;1076,42919065034;798,128591964177;1874,55778261451;278,30059868616;0,148462000620757;0,0102114712380269;0,0137721237288938;0,0239835949669207
APUÍ;Fem;8456,00000000015;2490,53391105075;1260,82455489491;3751,35846594566;1229,70935615584;0,327803745581496;0,0149104133738752;0,0294528608213187;0,0443632741951939
APUÍ;Masc;9551,00000000015;2827,97652294582;1371,63782497663;4199,61434792245;1456,33869796919;0,346779150968861;0,0143611959478233;0,0296092191701997;0,0439704151180231
ARAGOMINAS;Fem;2744;940,460554970936;525,722281018288;1466,18283598922;414,738273952648;0,282869410125666;0,0191589752557685;0,0342733438400487;0,0534323190958172
ARAGOMINAS;Masc;3138;1166,37757659626;466,779987644017;1633,15756424028;699,597588952247;0,428371153078355;0,0148750792748253;0,0371694575078478;0,0520445367826731
ARAGUACEMA;Fem;2986,00000000001;842,996143797607;812,807649069154;1655,80379286676;30,1884947284528;0,0182319275136979;0,0272206178522824;0,028231619015325;0,0554522368676074
ARAGUACEMA;Masc;3331,00000000001;937,292437264379;752,158996236236;1689,45143350062;185,133441028143;0,109581984635415;0,0225805762904904;0,0281384700469642;0,0507190463374545
ARAGUAIANA;Fem;1560;524,466218868142;384,70645700675;909,172675874892;139,759761861392;0,153721911766543;0,0246606703209455;0,0336196294146244;0,0582802997355699
ARAGUAIANA;Masc;1637;560,618667677817;390,302750016251;950,921417694068;170,315917661566;0,179106195835375;0,0238425626155315;0,0342467115258287;0,0580892741413602
ARAGUAINHA;Fem;511,000000000002;105,171273810345;132,430744465229;237,602018275574;-27,2594706548847;-0,114727437303453;0,0259159969599274;0,0205814625851946;0,0464974595451219
ARAGUAINHA;Masc;585,000000000003;135,685704675907;193,623543092343;329,30924776825;-57,9378384164361;-0,175937477641714;0,0330980415542465;0,023194137551437;0,0562921791056835
ARAGUANÃ;Fem;9299,99999999998;2045,92464564158;1585,15915507237;3631,08380071395;460,765490569216;0,126894755356133;0,0170447220975524;0,0219991897380816;0,0390439118356339
ARAGUANÃ;Masc;9702,99999999998;2134,43273033638;1384,64420542276;3519,07693575915;749,788524913618;0,213063976321356;0,01427026904486;0,0219976577381881;0,0362679267830481
ARAGUATINS;Fem;15361,0000000002;3147,50282923964;3747,31525234471;6894,81808158435;-599,812423105074;-0,0869946699111811;0,0243949954582688;0,0204902208791068;0,0448852163373756
ARAGUATINS;Masc;15968,0000000002;3266,32938649311;3765,31421866797;7031,64360516108;-498,984832174869;-0,0709627592343594;0,0235803746159063;0,0204554696047912;0,0440358442206975
ARAGUAÇU;Fem;4275,0000000001;720,733315654774;1146,58001310413;1867,31332875891;-425,84669744936;-0,228053155777769;0,0268205851018505;0,0168592588457253;0,0436798439475758
ARAGUAÇU;Masc;4511,00000000009;849,227713666442;1037,88471710789;1887,11243077433;-188,657003441445;-0,0999712578672561;0,0230078633807995;0,0188257085716343;0,0418335719524338
ARAGUAÍNA;Fem;76897,0000000022;18781,173337412;16725,8271784524;35507,0005158644;2055,34615895959;0,0578856599853111;0,0217509489036658;0,0244238050085328;0,0461747539121986
ARAGUAÍNA;Masc;73587,0000000022;16163,0158810044;15999,8061602536;32162,8220412579;163,209720750792;0,00507448384166755;0,0217427074894385;0,0219644990025465;0,043707206491985
ARAIOSES;Fem;20498;1633,05305722078;3250,39185159802;4883,4449088188;-1617,33879437724;-0,331188090492545;0,0158571170436043;0,00796688973178251;0,0238240067753868
ARAIOSES;Masc;22007;1401,50228488137;3212,61080670685;4614,11309158822;-1811,10852182549;-0,39251498302615;0,0145981315340885;0,00636843860990307;0,0209665701439916
ARAME;Fem;15219;1665,34927616453;3650,62870407388;5315,97798023841;-1985,27942790935;-0,373455163901999;0,0239873099682888;0,0109425670291381;0,0349298769974269
ARAME;Masc;16483;2014,21077722558;3631,60982883297;5645,82060605855;-1617,39905160739;-0,28647723058571;0,0220324566452282;0,012219928272921;0,0342523849181492
ARAPOEMA;Fem;3295;619,051391334218;1209,05119234433;1828,10258367855;-589,999801010112;-0,322738891284154;0,0366935111485381;0,0187875991300218;0,0554811102785598
ARAPOEMA;Masc;3447;630,554268701786;1194,76502169427;1825,31929039606;-564,210752992486;-0,309102498374443;0,0346610102029089;0,018292842143945;0,0529538523468539
ARAPUTANGA;Fem;7759,00000000017;2217,9353685558;2390,48162644717;4608,41699500297;-172,546257891363;-0,0374415462139079;0,0308091458492991;0,0285853250232731;0,0593944708725721
ARAPUTANGA;Masc;7583,00000000018;2144,44110947207;2145,80071366758;4290,24182313965;-1,3596041955052;-0,000316906191201648;0,0282975169941649;0,028279587359515;0,0565771043536799
ARARI;Fem;14173;1314,73282708582;1932,44976706263;3247,18259414845;-617,716939976812;-0,19023166146861;0,0136347263604222;0,0092763199540381;0,0229110463144603
ARARI;Masc;14315;1221,75329749098;2122,50377613223;3344,25707362321;-900,750478641245;-0,269342475417226;0,0148271308147553;0,00853477679001735;0,0233619076047727
ARENÁPOLIS;Fem;5125,00000000001;1151,50231618884;1750,8938445482;2902,39616073704;-599,391528359361;-0,206516097446584;0,0341637823326477;0,0224683378768553;0,0566321202095031
ARENÁPOLIS;Masc;5191,00000000001;1015,94735141769;1921,28942829936;2937,23677971705;-905,342076881676;-0,308229177549959;0,0370119327354914;0,0195713225085279;0,0565832552440193
ARIPUANÃ;Fem;8579,00000000014;3557,17257690215;2033,17552665452;5590,34810355667;1523,99705024762;0,272612191945262;0,0236994466331098;0,041463720444132;0,0651631670772418
ARIPUANÃ;Masc;10077,0000000002;4210,03944201394;2179,95104377947;6389,99048579341;2030,08839823447;0,317698187931246;0,0216329368242477;0,0417786984421343;0,0634116352663819
ARIQUEMES;Fem;44809,9999999997;9603,16452384392;10895,8235212874;20498,9880451313;-1292,65899744347;-0,0630596493152494;0,0243156070548705;0,0214308514256728;0,0457464584805432
ARIQUEMES;Masc;45542,9999999997;9480,04894914544;10756,9513445344;20237,0002936798;-1276,90239538897;-0,063097414481323;0,0236193297422973;0,0208156005294897;0,044434930271787
ARRAIAS;Fem;5251,99999999989;860,675484102177;1133,52538622658;1994,20087032875;-272,849902124399;-0,136821674377977;0,0215827377423191;0,0163875758587623;0,0379703136010814
ARRAIAS;Masc;5392,9999999999;793,154348542095;1185,52966256333;1978,68401110543;-392,37531402124;-0,198301149561537;0,0219827491667598;0,0147071082614892;0,036689857428249
ASSIS BRASIL;Fem;2980,99999999998;416,700432144185;405,344483741309;822,044915885494;11,3559484028754;0,013814267546005;0,0135976009306042;0,013978545191016;0,0275761461216202
ASSIS BRASIL;Masc;3090,99999999998;374,546683907991;329,905017741174;704,451701649164;44,6416661668173;0,0633707975469553;0,0106730837185757;0,0121173304402457;0,0227904141588214
ATALAIA DO NORTE;Fem;7301;452,490748769705;707,768675636341;1160,25942440605;-255,277926866636;-0,220017973133307;0,00969413334661472;0,00619765441404883;0,0158917877606635
ATALAIA DO NORTE;Masc;7852,00000000001;598,458715601188;730,368694773821;1328,82741037501;-131,909979172633;-0,0992679546965446;0,00930168994872415;0,00762173606216489;0,016923426010889
AUGUSTINÓPOLIS;Fem;7945;2002,59296854672;2218,93529617916;4221,52826472589;-216,342327632443;-0,0512473952715535;0,0279287010217642;0,0252057013032942;0,0531344023250584
AUGUSTINÓPOLIS;Masc;8005,00000000001;1818,4028597186;2164,31443549392;3982,71729521252;-345,911575775327;-0,0868531583175974;0,0270370322984875;0,0227158383475152;0,0497528706460027
AUGUSTO CORRÊA;Fem;19508;1602,24030802941;2156,26333702909;3758,50364505849;-554,02302899968;-0,14740521263777;0,011053226045874;0,00821324742684749;0,0192664734727214
AUGUSTO CORRÊA;Masc;20989;1432,80448993437;1465,24216273021;2898,04665266458;-32,4376727958374;-0,0111929436215297;0,00698100034651585;0,0068264542852655;0,0138074546317814
AURORA DO PARÁ;Fem;12926;1968,46204140753;2038,61253423892;4007,07457564645;-70,1504928313832;-0,0175066601599413;0,0157714106006415;0,0152287021615932;0,0310001127622346
AURORA DO PARÁ;Masc;13620;1870,21458731748;2000,89185656119;3871,10644387867;-130,677269243713;-0,033757084993194;0,0146908359512569;0,0137313846352237;0,0284222205864806
AURORA DO TOCANTINS;Fem;1672;237,375849609014;558,059486280179;795,435335889192;-320,683636671165;-0,403154879098605;0,0333767635335035;0,0141971201919266;0,0475738837254301
AURORA DO TOCANTINS;Masc;1774;226,564134880873;361,472491262699;588,036626143572;-134,908356381826;-0,229421689711021;0,0203761269031961;0,0127713717520221;0,0331474986552183
AUTAZES;Fem;15145,9999999999;1904,3801236603;2403,67716102563;4308,05728468594;-499,297037365326;-0,115898421114362;0,0158700459594985;0,0125734855649037;0,0284435315244022
AUTAZES;Masc;16988,9999999999;2108,31841576037;2177,60838634207;4285,92680210244;-69,289970581694;-0,016166858133859;0,01281775493756;0,0124099029711012;0,0252276579086612
AVEIRO;Fem;7482,00000000043;946,494704211615;952,085279247574;1898,57998345919;-5,59057503595943;-0,00294460864681269;0,0127250104149628;0,0126502900856931;0,025375300500656
AVEIRO;Masc;8367,00000000048;973,469366224196;995,001253736126;1968,47061996032;-21,5318875119303;-0,0109383839888676;0,0118919714800534;0,0116346284955676;0,023526599975621
AXIXÁ;Fem;5584,99999999999;708,118675671867;840,021558914252;1548,14023458612;-131,902883242385;-0,0852008624901142;0,0150406724962266;0,0126789377917971;0,0277196102880237
AXIXÁ;Masc;5821,99999999999;618,265142428536;734,736434944316;1353,00157737285;-116,471292515779;-0,0860836339466313;0,0126200006002116;0,0106194631128227;0,0232394637130343
AXIXÁ DO TOCANTINS;Fem;4675,00000000001;700,477693719926;1503,59877598409;2204,07646970401;-803,121082264162;-0,364379863087061;0,0321625406627612;0,0149834800795706;0,0471460207423318
AXIXÁ DO TOCANTINS;Masc;4600,00000000001;739,962011228302;1370,73249994639;2110,6945111747;-630,770488718092;-0,29884499409014;0,0297985326075302;0,0160861306788761;0,0458846632864063
AÇAILÂNDIA;Fem;51932,0000000004;9668,06483937069;13231,3394828862;22899,4043222569;-3563,27464351553;-0,155605560449109;0,0254782012687478;0,018616777400005;0,0440949786687529
AÇAILÂNDIA;Masc;52115,0000000004;10376,0102486238;12642,8486134299;23018,8588620538;-2266,83836480609;-0,0984774431430628;0,0242595195498989;0,0199098344979828;0,0441693540478818
BABAÇULÂNDIA;Fem;4884,00000000002;766,47629740756;827,499764255389;1593,97606166295;-61,023466847829;-0,0382838038258649;0,0169430746162036;0,0156936178830376;0,0326366924992412
