orig;dest;fluxo
ALTA FLORESTA D'OESTE;ARIQUEMES;35,4178161360714
ALTA FLORESTA D'OESTE;CACOAL;205,09487093087
ALTA FLORESTA D'OESTE;CEREJEIRAS;10,5931229601993
ALTA FLORESTA D'OESTE;COLORADO DO OESTE;64,376056809667
ALTA FLORESTA D'OESTE;ESPIGÃO D'OESTE;8,1241109135778
ALTA FLORESTA D'OESTE;JARÚ;11,7615441164016
ALTA FLORESTA D'OESTE;JI-PARANÁ;19,2299139864356
ALTA FLORESTA D'OESTE;MACHADINHO D'OESTE;8,3875264862079
ALTA FLORESTA D'OESTE;NOVA BRASILÂNDIA D'OESTE;35,8870028709717
ALTA FLORESTA D'OESTE;OURO PRETO DO OESTE;10,250595018805
ALTA FLORESTA D'OESTE;PIMENTA BUENO;62,3131345813299
ALTA FLORESTA D'OESTE;PORTO VELHO;31,8672327421457
ALTA FLORESTA D'OESTE;PRESIDENTE MÉDICI;11,2492117169149
ALTA FLORESTA D'OESTE;ROLIM DE MOURA;254,492261146328
ALTA FLORESTA D'OESTE;SANTA LUZIA D'OESTE;46,6462758494327
ALTA FLORESTA D'OESTE;VILHENA;171,807287570817
ALTA FLORESTA D'OESTE;SÃO MIGUEL DO GUAPORÉ;75,2375086460026
ALTA FLORESTA D'OESTE;ALVORADA D'OESTE;34,5269136920217
ALTA FLORESTA D'OESTE;ALTO ALEGRE DOS PARECIS;36,9522884762546
ALTA FLORESTA D'OESTE;BURITIS;31,9683752834919
ALTA FLORESTA D'OESTE;NOVO HORIZONTE DO OESTE;80,4008613233294
ALTA FLORESTA D'OESTE;CHUPINGUAIA;19,0724461129202
ALTA FLORESTA D'OESTE;PARECIS;88,2087909465655
ALTA FLORESTA D'OESTE;SÃO FRANCISCO DO GUAPORÉ;97,7613429372813
ALTA FLORESTA D'OESTE;SERINGUEIRAS;34,7055378994158
ALTA FLORESTA D'OESTE;RIO BRANCO;32,362478384934
ALTA FLORESTA D'OESTE;MANAUS;11,2434187060824
ALTA FLORESTA D'OESTE;COLNIZA;12,5346937727511
ALTA FLORESTA D'OESTE;COMODORO;7,3524426792488
ALTA FLORESTA D'OESTE;CUIABÁ;9,9844985198031
ALTA FLORESTA D'OESTE;GUARANTÃ DO NORTE;7,373611728557
ALTA FLORESTA D'OESTE;LUCAS DO RIO VERDE;21,026523775134
ALTA FLORESTA D'OESTE;SÃO JOSÉ DOS QUATRO MARCOS;21,4112488549744
ALTA FLORESTA D'OESTE;VÁRZEA GRANDE;18,370305385092
ALTA FLORESTA D'OESTE;OUTROS;464,020371301794
ALTA FLORESTA D'OESTE;N�O MIGRANTE;45,3747321923675
ALTA FLORESTA D'OESTE;IGNORADO;77,4408912979168
ALTA FLORESTA D'OESTE;N�O SABE MUNIC�PIO;16,2699873100738
ARIQUEMES;ALTA FLORESTA D'OESTE;20,5260340132365
ARIQUEMES;CACOAL;203,175835615194
ARIQUEMES;CEREJEIRAS;35,4593651597775
ARIQUEMES;COLORADO DO OESTE;63,4965727131118
ARIQUEMES;COSTA MARQUES;10,5047961827221
ARIQUEMES;ESPIGÃO D'OESTE;88,7499818118681
ARIQUEMES;GUAJARÁ-MIRIM;56,3522626308677
ARIQUEMES;JARÚ;640,219042175191
ARIQUEMES;JI-PARANÁ;666,08999331513
ARIQUEMES;MACHADINHO D'OESTE;354,054557336767
ARIQUEMES;NOVA BRASILÂNDIA D'OESTE;13,4597997944402
ARIQUEMES;OURO PRETO DO OESTE;377,275871377914
ARIQUEMES;PIMENTA BUENO;32,4561680152159
ARIQUEMES;PORTO VELHO;697,892884250831
ARIQUEMES;PRESIDENTE MÉDICI;47,2816814765815
ARIQUEMES;RIO CRESPO;106,409061407424
ARIQUEMES;ROLIM DE MOURA;60,9885466295811
ARIQUEMES;VILHENA;138,526257913113
ARIQUEMES;SÃO MIGUEL DO GUAPORÉ;13,9915507642496
ARIQUEMES;NOVA MAMORÉ;10,9943369965506
ARIQUEMES;ALVORADA D'OESTE;9,6609871544558
ARIQUEMES;ALTO PARAÍSO;145,420113814724
ARIQUEMES;BURITIS;324,791800546089
ARIQUEMES;NOVO HORIZONTE DO OESTE;27,144823839218
ARIQUEMES;CACAULÂNDIA;277,15259342834
ARIQUEMES;CAMPO NOVO DE RONDÔNIA;65,5506166922538
ARIQUEMES;CANDEIAS DO JAMARI;83,8322991058718
ARIQUEMES;CUJUBIM;146,612741427311
ARIQUEMES;GOVERNADOR JORGE TEIXEIRA;93,7104733790121
ARIQUEMES;ITAPUÃ DO OESTE;193,158931150476
ARIQUEMES;MIRANTE DA SERRA;90,696008490466
ARIQUEMES;MONTE NEGRO;180,91391689084
ARIQUEMES;NOVA UNIÃO;102,10222378253
ARIQUEMES;SÃO FRANCISCO DO GUAPORÉ;28,167965292627
ARIQUEMES;SERINGUEIRAS;21,2696645258663
ARIQUEMES;TEIXEIRÓPOLIS;9,4010658455749
ARIQUEMES;THEOBROMA;63,1808604036443
ARIQUEMES;URUPÁ;88,2502797462628
ARIQUEMES;VALE DO ANARI;55,4180025276076
ARIQUEMES;VALE DO PARAÍSO;12,054267480662
ARIQUEMES;BRASILÉIA;13,0195435604141
ARIQUEMES;EPITACIOLÂNDIA;11,1148454290099
ARIQUEMES;FEIJÓ;26,8113923710608
ARIQUEMES;RIO BRANCO;200,693029944265
ARIQUEMES;APUÍ;51,6222955437951
ARIQUEMES;HUMAITÁ;59,3252277610629
ARIQUEMES;MANAUS;22,9275139363742
ARIQUEMES;BOA VISTA;82,894159563486
ARIQUEMES;NOVO REPARTIMENTO;52,6323754106148
ARIQUEMES;SANTARÉM;12,1779119874346
ARIQUEMES;BARRA DO CORDA;20,1218631424922
ARIQUEMES;IMPERATRIZ;12,6248865892099
ARIQUEMES;PINHEIRO;19,6666051450948
ARIQUEMES;SÃO LUÍS;57,452251544973
ARIQUEMES;ARAPUTANGA;39,627143733173
ARIQUEMES;BARRA DO BUGRES;15,6660609034725
ARIQUEMES;CÁCERES;181,722318268915
ARIQUEMES;COLNIZA;59,8784546772538
ARIQUEMES;CUIABÁ;172,880151844573
ARIQUEMES;JACIARA;12,2912719864623
ARIQUEMES;JUÍNA;66,5380238397449
ARIQUEMES;MARCELÂNDIA;15,2642455428816
ARIQUEMES;PONTES E LACERDA;33,4528047789171
ARIQUEMES;RONDONÓPOLIS;92,9466686688208
ARIQUEMES;SAPEZAL;15,6660609034725
ARIQUEMES;OUTROS;2035,6553083743
ARIQUEMES;N�O MIGRANTE;313,455842551769
ARIQUEMES;IGNORADO;339,873421334965
ARIQUEMES;N�O SABE MUNIC�PIO;105,191783940061
ARIQUEMES;N�O SABE UF NEM MUNIC�PIO;13,5773851283297
CABIXI;ARIQUEMES;5,893040596539
CABIXI;CACOAL;5,338678878017
CABIXI;CEREJEIRAS;41,613622226455
CABIXI;COLORADO DO OESTE;97,8598472731351
CABIXI;CORUMBIARA;5,8872674429821
CABIXI;ESPIGÃO D'OESTE;9,497516046453
CABIXI;JARÚ;13,1001195078452
CABIXI;JI-PARANÁ;18,0201664666962
CABIXI;OURO PRETO DO OESTE;6,1730961114872
CABIXI;PORTO VELHO;10,9190146671396
CABIXI;VILHENA;235,352633825993
CABIXI;SÃO MIGUEL DO GUAPORÉ;3,1935124052665
CABIXI;BURITIS;18,8885278016667
CABIXI;CHUPINGUAIA;9,8563486089216
CABIXI;PIMENTEIRAS DO OESTE;7,4622232193883
CABIXI;RIO BRANCO;1,876559543598
CABIXI;APUÍ;2,3897360404493
CABIXI;MANICORÉ;5,245738272125
CABIXI;CASTANHAL;7,216269814289
CABIXI;CÁCERES;12,151772252285
CABIXI;COLNIZA;11,7410326603889
CABIXI;COTRIGUAÇU;4,3688811942366
CABIXI;JAURU;7,1232637138396
CABIXI;JUÍNA;8,7193082494473
CABIXI;PONTES E LACERDA;2,7331320333699
CABIXI;RONDONÓPOLIS;7,0568448582372
CABIXI;SAPEZAL;18,6218346718375
CABIXI;SINOP;3,8228936649766
CABIXI;OUTROS;97,3625001604597
CABIXI;N�O MIGRANTE;9,122813127427
CABIXI;IGNORADO;36,7547404465662
CABIXI;N�O SABE UF NEM MUNIC�PIO;2,2981317831935
CACOAL;ALTA FLORESTA D'OESTE;208,037419325901
CACOAL;ARIQUEMES;132,11197118412
CACOAL;CEREJEIRAS;112,600782631192
CACOAL;COLORADO DO OESTE;10,8442320995643
CACOAL;COSTA MARQUES;40,501665479522
CACOAL;ESPIGÃO D'OESTE;368,840869354463
CACOAL;GUAJARÁ-MIRIM;9,9753660157687
CACOAL;JARÚ;20,6599720873566
CACOAL;JI-PARANÁ;400,498050296937
CACOAL;MACHADINHO D'OESTE;154,600223171247
CACOAL;NOVA BRASILÂNDIA D'OESTE;188,592085870545
CACOAL;OURO PRETO DO OESTE;71,3910231291921
CACOAL;PIMENTA BUENO;388,354409630083
CACOAL;PORTO VELHO;319,503135250726
CACOAL;PRESIDENTE MÉDICI;274,000969913668
CACOAL;ROLIM DE MOURA;390,420848713076
CACOAL;SANTA LUZIA D'OESTE;20,7088983268647
CACOAL;VILHENA;268,916159695638
CACOAL;SÃO MIGUEL DO GUAPORÉ;317,794308701359
CACOAL;NOVA MAMORÉ;67,518107801419
CACOAL;ALVORADA D'OESTE;219,411079804364
CACOAL;ALTO ALEGRE DOS PARECIS;68,5509577608708
CACOAL;BURITIS;222,37842966117
CACOAL;NOVO HORIZONTE DO OESTE;16,0122988946174
CACOAL;CASTANHEIRAS;34,914134449554
CACOAL;CHUPINGUAIA;24,3298760671525
CACOAL;CUJUBIM;34,2843876104094
CACOAL;MINISTRO ANDREAZZA;165,092771571941
CACOAL;PARECIS;16,8741668712015
CACOAL;SÃO FELIPE D'OESTE;38,0811529235078
CACOAL;SÃO FRANCISCO DO GUAPORÉ;315,050909181244
CACOAL;SERINGUEIRAS;45,9832977494785
CACOAL;VALE DO PARAÍSO;8,1646004176659
CACOAL;RIO BRANCO;77,1115848258764
CACOAL;APUÍ;46,5796199622698
CACOAL;BORBA;9,3751683552522
CACOAL;HUMAITÁ;20,0819753245704
CACOAL;MANAUS;31,3277810373694
CACOAL;BOA VISTA;9,0225685840798
CACOAL;BRASIL NOVO;12,8542653411658
CACOAL;NOVO PROGRESSO;9,807841870505
CACOAL;RIO MARIA;10,9362654427199
CACOAL;IMPERATRIZ;18,2471126776584
CACOAL;ALTA FLORESTA;22,9734019291738
CACOAL;ARAPUTANGA;36,8982916799115
CACOAL;ARIPUANÃ;14,3280341344404
CACOAL;CÁCERES;10,675038578315
CACOAL;CAMPOS DE JÚLIO;13,7461012972783
CACOAL;COLÍDER;41,2831720934442
CACOAL;COLNIZA;85,1810756256598
CACOAL;CUIABÁ;161,233192045781
CACOAL;CURVELÂNDIA;10,4289794195421
CACOAL;DIAMANTINO;21,2616897220802
CACOAL;FIGUEIRÓPOLIS D'OESTE;39,8246067999741
CACOAL;JUÍNA;8,0514234192585
CACOAL;PONTES E LACERDA;9,5031105954542
CACOAL;PORTO ESPERIDIÃO;34,3491149114691
CACOAL;RONDOLÂNDIA;46,1543510558172
CACOAL;RONDONÓPOLIS;19,9167976388944
CACOAL;SÃO FÉLIX DO ARAGUAIA;35,5392169415952
CACOAL;SINOP;57,1403505550798
CACOAL;SORRISO;64,5595117376362
CACOAL;VÁRZEA GRANDE;50,6376658251837
CACOAL;OUTROS;1374,13220386752
CACOAL;N�O MIGRANTE;164,165228185755
CACOAL;IGNORADO;230,903714472854
CACOAL;N�O SABE MUNIC�PIO;64,3025041602289
CACOAL;N�O SABE UF NEM MUNIC�PIO;15,2229702792778
CEREJEIRAS;ARIQUEMES;27,1745052318575
CEREJEIRAS;CABIXI;81,6200648647362
CEREJEIRAS;CACOAL;52,5313193828284
CEREJEIRAS;COLORADO DO OESTE;226,912345321193
CEREJEIRAS;CORUMBIARA;135,565984273221
CEREJEIRAS;ESPIGÃO D'OESTE;15,6178317007429
CEREJEIRAS;GUAJARÁ-MIRIM;24,8064550523012
CEREJEIRAS;JARÚ;4,1306936425008
CEREJEIRAS;JI-PARANÁ;110,180421108721
CEREJEIRAS;MACHADINHO D'OESTE;11,4616844287226
CEREJEIRAS;OURO PRETO DO OESTE;24,0186803038634
CEREJEIRAS;PIMENTA BUENO;32,4113295171607
CEREJEIRAS;PORTO VELHO;70,6489069514481
CEREJEIRAS;ROLIM DE MOURA;5,1149450081894
CEREJEIRAS;VILHENA;396,839179189529
CEREJEIRAS;SÃO MIGUEL DO GUAPORÉ;25,927014462128
CEREJEIRAS;NOVA MAMORÉ;5,0797462967272
CEREJEIRAS;BURITIS;74,8147722451963
CEREJEIRAS;CHUPINGUAIA;19,9735091086744
CEREJEIRAS;PIMENTEIRAS DO OESTE;67,046191230311
CEREJEIRAS;SÃO FRANCISCO DO GUAPORÉ;56,9516413695825
CEREJEIRAS;SERINGUEIRAS;16,089436627938
CEREJEIRAS;URUPÁ;17,2678608663156
CEREJEIRAS;BRASILÉIA;14,9952985109517
CEREJEIRAS;RIO BRANCO;6,9665035007831
CEREJEIRAS;MANAUS;18,8297733907116
CEREJEIRAS;RORAINÓPOLIS;14,1478162477566
CEREJEIRAS;NOVO REPARTIMENTO;9,5342034846556
CEREJEIRAS;CHAPADINHA;9,2924190897712
CEREJEIRAS;ARAPUTANGA;15,3876210965004
CEREJEIRAS;ARIPUANÃ;35,2031962700856
CEREJEIRAS;CÁCERES;4,933972207358
CEREJEIRAS;CAMPO NOVO DO PARECIS;37,9466739536897
CEREJEIRAS;CAMPOS DE JÚLIO;8,151408491192
CEREJEIRAS;COLNIZA;79,5544509046797
CEREJEIRAS;COTRIGUAÇU;18,3078337952271
CEREJEIRAS;CUIABÁ;52,2016788536907
CEREJEIRAS;JAURU;10,4008307374594
CEREJEIRAS;JUARA;4,8420950633091
CEREJEIRAS;JUÍNA;8,2159972233778
CEREJEIRAS;JURUENA;4,2056869634821
CEREJEIRAS;NOVA MUTUM;19,6772701494324
CEREJEIRAS;PARANATINGA;5,0526956800387
CEREJEIRAS;PONTES E LACERDA;25,0595343521808
CEREJEIRAS;SÃO JOSÉ DOS QUATRO MARCOS;6,1115871286086
CEREJEIRAS;RONDONÓPOLIS;15,9949250734665
CEREJEIRAS;TANGARÁ DA SERRA;10,8164048139822
CEREJEIRAS;UNIÃO DO SUL;10,0348991157838
CEREJEIRAS;OUTROS;539,378351095281
CEREJEIRAS;N�O MIGRANTE;61,2432993421819
CEREJEIRAS;IGNORADO;73,0741603034368
CEREJEIRAS;N�O SABE MUNIC�PIO;3,4019591920779
CEREJEIRAS;N�O SABE UF NEM MUNIC�PIO;9,8681869015812
COLORADO DO OESTE;ALTA FLORESTA D'OESTE;4,4023573833467
COLORADO DO OESTE;CABIXI;96,6242923938331
COLORADO DO OESTE;CACOAL;52,9135718036825
COLORADO DO OESTE;CEREJEIRAS;129,207005020629
COLORADO DO OESTE;CORUMBIARA;91,5115704528659
COLORADO DO OESTE;COSTA MARQUES;3,5894351162943
COLORADO DO OESTE;ESPIGÃO D'OESTE;4,5846696065721
COLORADO DO OESTE;JI-PARANÁ;28,8905195131717
COLORADO DO OESTE;MACHADINHO D'OESTE;26,6384638180019
COLORADO DO OESTE;OURO PRETO DO OESTE;22,8854633001617
COLORADO DO OESTE;PIMENTA BUENO;4,9614986890906
COLORADO DO OESTE;PORTO VELHO;101,110740058594
COLORADO DO OESTE;ROLIM DE MOURA;38,913244228049
COLORADO DO OESTE;SANTA LUZIA D'OESTE;14,514082238247
COLORADO DO OESTE;VILHENA;550,648669358934
COLORADO DO OESTE;SÃO MIGUEL DO GUAPORÉ;16,8284470542978
COLORADO DO OESTE;BURITIS;18,1757574625779
COLORADO DO OESTE;CHUPINGUAIA;52,8252894449465
COLORADO DO OESTE;PIMENTEIRAS DO OESTE;4,6791056393535
COLORADO DO OESTE;URUPÁ;48,8943619304002
COLORADO DO OESTE;ACRELÂNDIA;9,3561055183096
COLORADO DO OESTE;RIO BRANCO;20,9276413668378
COLORADO DO OESTE;APUÍ;7,0640033551847
COLORADO DO OESTE;MANAUS;4,4746771806115
COLORADO DO OESTE;MANICORÉ;7,0640033551847
COLORADO DO OESTE;ARAPUTANGA;4,2201610575691
COLORADO DO OESTE;ARIPUANÃ;30,8811925196016
COLORADO DO OESTE;BARRA DO BUGRES;29,1617107899735
COLORADO DO OESTE;CÁCERES;12,5930406770619
COLORADO DO OESTE;COLNIZA;13,5660683118135
COLORADO DO OESTE;COMODORO;52,5866237207514
COLORADO DO OESTE;CUIABÁ;60,19803673661
COLORADO DO OESTE;JACIARA;12,0785956121508
COLORADO DO OESTE;JAURU;14,6695568164077
COLORADO DO OESTE;JUÍNA;4,7170719191929
COLORADO DO OESTE;JURUENA;3,6758469990461
COLORADO DO OESTE;PEDRA PRETA;4,8728240019202
COLORADO DO OESTE;PONTES E LACERDA;4,2608943747049
COLORADO DO OESTE;SÃO JOSÉ DOS QUATRO MARCOS;4,9486785512688
COLORADO DO OESTE;RONDONÓPOLIS;4,4746771806115
COLORADO DO OESTE;ROSÁRIO OESTE;4,7659648925882
COLORADO DO OESTE;TANGARÁ DA SERRA;4,2578060832095
COLORADO DO OESTE;OUTROS;350,170060037386
COLORADO DO OESTE;N�O MIGRANTE;61,0600624623162
COLORADO DO OESTE;IGNORADO;106,141109127
COLORADO DO OESTE;N�O SABE MUNIC�PIO;5,7779759740571
CORUMBIARA;ARIQUEMES;5,5782942703572
CORUMBIARA;CABIXI;78,5131409743998
CORUMBIARA;CACOAL;23,5307260280788
CORUMBIARA;CEREJEIRAS;483,285058745723
CORUMBIARA;COLORADO DO OESTE;51,6923632067859
CORUMBIARA;COSTA MARQUES;28,0282699335776
CORUMBIARA;ESPIGÃO D'OESTE;25,0482226333128
CORUMBIARA;PIMENTA BUENO;23,6292107964265
CORUMBIARA;PORTO VELHO;39,8984173147914
CORUMBIARA;ROLIM DE MOURA;10,3825163874686
CORUMBIARA;SANTA LUZIA D'OESTE;20,7458149291115
CORUMBIARA;VILHENA;191,192680966388
CORUMBIARA;ALTO ALEGRE DOS PARECIS;11,1152128943754
CORUMBIARA;NOVO HORIZONTE DO OESTE;14,48470112355
CORUMBIARA;CACAULÂNDIA;4,5343520328623
CORUMBIARA;CHUPINGUAIA;6,1705936665252
CORUMBIARA;PIMENTEIRAS DO OESTE;47,6472343867568
CORUMBIARA;SÃO FRANCISCO DO GUAPORÉ;11,5026644458904
CORUMBIARA;PORTO ACRE;8,1612616859406
CORUMBIARA;ARAPUTANGA;29,5387293777793
CORUMBIARA;CAMPOS DE JÚLIO;5,6551975735743
CORUMBIARA;MIRASSOL D'OESTE;4,3263602574064
CORUMBIARA;PEDRA PRETA;3,3278640278592
CORUMBIARA;PONTES E LACERDA;3,4478514291014
CORUMBIARA;RONDONÓPOLIS;8,7624644616518
CORUMBIARA;SAPEZAL;14,8992570076764
CORUMBIARA;SINOP;3,9565887607145
CORUMBIARA;OUTROS;123,110220443973
CORUMBIARA;N�O MIGRANTE;35,72283265254
CORUMBIARA;IGNORADO;142,409987425481
CORUMBIARA;N�O SABE MUNIC�PIO;5,8364061695522
COSTA MARQUES;ALTA FLORESTA D'OESTE;11,7881533036239
COSTA MARQUES;ARIQUEMES;14,2323315633048
COSTA MARQUES;CACOAL;49,2430433720242
COSTA MARQUES;CEREJEIRAS;28,452439295637
COSTA MARQUES;ESPIGÃO D'OESTE;5,6432034983283
COSTA MARQUES;GUAJARÁ-MIRIM;180,648641582765
COSTA MARQUES;JARÚ;12,4258054576125
COSTA MARQUES;JI-PARANÁ;95,571655612685
COSTA MARQUES;MACHADINHO D'OESTE;6,290000304689
COSTA MARQUES;NOVA BRASILÂNDIA D'OESTE;112,484075672738
COSTA MARQUES;PIMENTA BUENO;58,5933394690064
COSTA MARQUES;PORTO VELHO;79,8566555761749
COSTA MARQUES;PRESIDENTE MÉDICI;181,683180536316
COSTA MARQUES;ROLIM DE MOURA;103,388895888049
COSTA MARQUES;SANTA LUZIA D'OESTE;32,3401624405367
COSTA MARQUES;VILHENA;5,2364043499575
COSTA MARQUES;SÃO MIGUEL DO GUAPORÉ;107,450473624225
COSTA MARQUES;ALVORADA D'OESTE;82,8065785374762
COSTA MARQUES;BURITIS;33,1817919372233
COSTA MARQUES;NOVO HORIZONTE DO OESTE;18,8495493055966
COSTA MARQUES;CANDEIAS DO JAMARI;13,2683286042285
COSTA MARQUES;CUJUBIM;4,0479020211332
COSTA MARQUES;PIMENTEIRAS DO OESTE;4,2194129843701
COSTA MARQUES;SÃO FRANCISCO DO GUAPORÉ;91,4495642193533
COSTA MARQUES;SERINGUEIRAS;31,9228006137923
COSTA MARQUES;URUPÁ;3,9705270475039
COSTA MARQUES;VALE DO ANARI;5,1018400944995
COSTA MARQUES;PLÁCIDO DE CASTRO;16,2362506599249
COSTA MARQUES;RIO BRANCO;3,4207754811951
COSTA MARQUES;APUÍ;21,4391524812268
COSTA MARQUES;HUMAITÁ;24,1361072568292
COSTA MARQUES;MANICORÉ;17,6010059923988
COSTA MARQUES;BELÉM;7,972205568216
COSTA MARQUES;SÃO FÉLIX DO XINGU;12,6917971201434
COSTA MARQUES;SANTA LUZIA;5,5707891182463
COSTA MARQUES;CUIABÁ;5,3779232124886
COSTA MARQUES;JANGADA;5,643622289635
COSTA MARQUES;JUÍNA;6,339583162791
COSTA MARQUES;PONTES E LACERDA;26,5568000367772
COSTA MARQUES;PRIMAVERA DO LESTE;4,9379227963587
COSTA MARQUES;TANGARÁ DA SERRA;4,4166617130111
COSTA MARQUES;OUTROS;214,088738884609
COSTA MARQUES;N�O MIGRANTE;24,4962757376005
COSTA MARQUES;IGNORADO;117,562061080421
COSTA MARQUES;N�O SABE MUNIC�PIO;6,3738406339055
ESPIGÃO D'OESTE;ALTA FLORESTA D'OESTE;18,961518958342
ESPIGÃO D'OESTE;ARIQUEMES;19,0604934375374
ESPIGÃO D'OESTE;CACOAL;590,074324729799
ESPIGÃO D'OESTE;CEREJEIRAS;9,6373047758836
ESPIGÃO D'OESTE;COSTA MARQUES;28,463743801609
ESPIGÃO D'OESTE;JARÚ;32,0138599711878
ESPIGÃO D'OESTE;JI-PARANÁ;55,7359949916694
ESPIGÃO D'OESTE;MACHADINHO D'OESTE;20,023260047344
ESPIGÃO D'OESTE;NOVA BRASILÂNDIA D'OESTE;37,4980794470493
ESPIGÃO D'OESTE;OURO PRETO DO OESTE;122,685752664808
ESPIGÃO D'OESTE;PIMENTA BUENO;483,173533039692
ESPIGÃO D'OESTE;PORTO VELHO;145,010257782947
ESPIGÃO D'OESTE;PRESIDENTE MÉDICI;30,8410771000377
ESPIGÃO D'OESTE;ROLIM DE MOURA;29,5831200238593
ESPIGÃO D'OESTE;VILHENA;104,542652474395
ESPIGÃO D'OESTE;SÃO MIGUEL DO GUAPORÉ;31,761853789476
ESPIGÃO D'OESTE;ALVORADA D'OESTE;39,8222933957898
ESPIGÃO D'OESTE;ALTO ALEGRE DOS PARECIS;76,0868122781033
ESPIGÃO D'OESTE;BURITIS;20,8581727359695
ESPIGÃO D'OESTE;MINISTRO ANDREAZZA;22,4710617478604
ESPIGÃO D'OESTE;MIRANTE DA SERRA;20,9521027467498
ESPIGÃO D'OESTE;PARECIS;16,1847094434246
ESPIGÃO D'OESTE;PRIMAVERA DE RONDÔNIA;11,4490935836577
ESPIGÃO D'OESTE;SÃO FRANCISCO DO GUAPORÉ;7,502306966951
ESPIGÃO D'OESTE;URUPÁ;80,7987638892452
ESPIGÃO D'OESTE;RIO BRANCO;10,3136736338898
ESPIGÃO D'OESTE;APUÍ;11,0978268594301
ESPIGÃO D'OESTE;HUMAITÁ;21,4726262824912
ESPIGÃO D'OESTE;BOA VISTA;12,9883017555669
ESPIGÃO D'OESTE;PACARAIMA;20,6722980736222
ESPIGÃO D'OESTE;ALTAMIRA;8,7210945036462
ESPIGÃO D'OESTE;ARIPUANÃ;53,0822722218619
ESPIGÃO D'OESTE;CAMPO VERDE;10,8097011824211
ESPIGÃO D'OESTE;COLNIZA;95,216709228132
ESPIGÃO D'OESTE;CONQUISTA D'OESTE;30,5145282150504
ESPIGÃO D'OESTE;CUIABÁ;39,7215348151566
ESPIGÃO D'OESTE;JACIARA;9,7663509218316
ESPIGÃO D'OESTE;JUSCIMEIRA;20,2181653108652
ESPIGÃO D'OESTE;SAPEZAL;21,5858681303072
ESPIGÃO D'OESTE;SINOP;31,0552493680284
ESPIGÃO D'OESTE;VÁRZEA GRANDE;51,9991020939566
ESPIGÃO D'OESTE;OUTROS;575,573003079351
ESPIGÃO D'OESTE;N�O MIGRANTE;22,2647025613874
ESPIGÃO D'OESTE;IGNORADO;63,6188754930972
ESPIGÃO D'OESTE;N�O SABE MUNIC�PIO;9,0833676136344
GUAJARÁ-MIRIM;ALTA FLORESTA D'OESTE;16,904289648317
GUAJARÁ-MIRIM;ARIQUEMES;14,2885263242066
GUAJARÁ-MIRIM;COSTA MARQUES;292,671872060883
GUAJARÁ-MIRIM;JARÚ;22,2893466274959
GUAJARÁ-MIRIM;JI-PARANÁ;37,654303139355
GUAJARÁ-MIRIM;MACHADINHO D'OESTE;57,7359484532237
GUAJARÁ-MIRIM;NOVA BRASILÂNDIA D'OESTE;10,6750606692507
GUAJARÁ-MIRIM;OURO PRETO DO OESTE;44,890419103249
GUAJARÁ-MIRIM;PIMENTA BUENO;20,7642127308108
GUAJARÁ-MIRIM;PORTO VELHO;565,18878629626
GUAJARÁ-MIRIM;PRESIDENTE MÉDICI;11,8406025645189
GUAJARÁ-MIRIM;VILHENA;60,7389206926053
GUAJARÁ-MIRIM;NOVA MAMORÉ;164,440481960103
GUAJARÁ-MIRIM;BURITIS;105,288818199943
GUAJARÁ-MIRIM;CAMPO NOVO DE RONDÔNIA;10,9301861985783
GUAJARÁ-MIRIM;CANDEIAS DO JAMARI;37,3596453681476
GUAJARÁ-MIRIM;PIMENTEIRAS DO OESTE;18,535749607072
GUAJARÁ-MIRIM;SÃO FRANCISCO DO GUAPORÉ;6,9964796716806
GUAJARÁ-MIRIM;RIO BRANCO;174,647481728725
GUAJARÁ-MIRIM;HUMAITÁ;37,9228240020332
GUAJARÁ-MIRIM;MANICORÉ;9,7406369376635
GUAJARÁ-MIRIM;BOA VISTA;24,8013437382402
GUAJARÁ-MIRIM;BREVES;11,9001347059066
GUAJARÁ-MIRIM;CODÓ;14,3731283658392
GUAJARÁ-MIRIM;IMPERATRIZ;10,0845869583948
GUAJARÁ-MIRIM;SÃO LUÍS GONZAGA DO MARANHÃO;12,2095841930821
GUAJARÁ-MIRIM;TUNTUM;65,9980244522016
GUAJARÁ-MIRIM;CUIABÁ;9,8556068116238
GUAJARÁ-MIRIM;JUÍNA;21,8603723971566
GUAJARÁ-MIRIM;VILA BELA DA SANTÍSSIMA TRINDADE;28,7946822939982
GUAJARÁ-MIRIM;RONDONÓPOLIS;29,5668204348714
GUAJARÁ-MIRIM;OUTROS;736,147269291567
GUAJARÁ-MIRIM;N�O MIGRANTE;126,449499089133
GUAJARÁ-MIRIM;IGNORADO;39,2100843450462
GUAJARÁ-MIRIM;N�O SABE MUNIC�PIO;11,7839156806414
JARU;ARIQUEMES;348,285426646789
JARU;CACOAL;74,9111047739597
JARU;ESPIGÃO D'OESTE;43,794118393527
JARU;GUAJARÁ-MIRIM;47,811140651501
JARU;JI-PARANÁ;246,388583778106
JARU;MACHADINHO D'OESTE;94,9989801448662
JARU;NOVA BRASILÂNDIA D'OESTE;6,981886396844
JARU;OURO PRETO DO OESTE;597,788649753178
JARU;PIMENTA BUENO;52,5327782763302
JARU;PORTO VELHO;371,136478077041
JARU;ROLIM DE MOURA;58,6954620154356
JARU;NOVA MAMORÉ;12,8992101339666
JARU;ALVORADA D'OESTE;38,6173641193046
JARU;ALTO PARAÍSO;19,0441573024547
